// automatically generated by gentest.lsp

void test0(void);

void
test0(void)
{

 X1 = "45967";
 X2 = "-45967";
 Y1 = "3";
 Y2 = "32";

 Tz(  1, "<<", CBignum(X1) << CBignum(Y1), "367736"                 );
 Tz(  2, "<<", CBignum(X1) << CBignum(Y2), "197426761695232"        );
 Tz(  3, "<<", CBignum(X2) << CBignum(Y1), "-367736"                );
 Tz(  4, "<<", CBignum(X2) << CBignum(Y2), "-197426761695232"       );
}

void test1(void);

void
test1(void)
{

 X1 = "45967";
 X2 = "-45967";
 Y1 = "-3";
 Y2 = "-32";

 Tz(  5, "<<", CBignum(X1) << CBignum(Y1), "5745"                   );
 Tz(  6, "<<", CBignum(X1) << CBignum(Y2), "0"                      );
 Tz(  7, "<<", CBignum(X2) << CBignum(Y1), "-5746"                  );
 Tz(  8, "<<", CBignum(X2) << CBignum(Y2), "-1"                     );
}

void test2(void);

void
test2(void)
{

 X1 = "1";
 X2 = "-1";
 Y1 = "69";
 Y2 = "-69";

 Tz(  9, "<<", CBignum(X1) << CBignum(Y1), "590295810358705651712"  );
 Tz( 10, "<<", CBignum(X1) << CBignum(Y2), "0"                      );
 Tz( 11, "<<", CBignum(X2) << CBignum(Y1), "-590295810358705651712" );
 Tz( 12, "<<", CBignum(X2) << CBignum(Y2), "-1"                     );
}

void test3(void);

void
test3(void)
{

 X1 = "0";
 X2 = "-1";
 Y1 = "69";
 Y2 = "-69";

 Tz( 13, "<<", CBignum(X1) << CBignum(Y1), "0"                      );
 Tz( 14, "<<", CBignum(X1) << CBignum(Y2), "0"                      );
 Tz( 15, "<<", CBignum(X2) << CBignum(Y1), "-590295810358705651712" );
 Tz( 16, "<<", CBignum(X2) << CBignum(Y2), "-1"                     );
}

void test4(void);

void
test4(void)
{

 X1 = "3";
 X2 = "64";
 Y1 = "40";
 Y2 = "8000000000000000000000";

 Tz( 17, "logbitp ", logbitp(CBignum(X1), CBignum(Y1)), "1"         );
 Tz( 18, "logbitp ", logbitp(CBignum(X1), CBignum(Y2)), "0"         );
 Tz( 19, "logbitp ", logbitp(CBignum(X2), CBignum(Y1)), "0"         );
 Tz( 20, "logbitp ", logbitp(CBignum(X2), CBignum(Y2)), "1"         );
}

void test5(void);

void
test5(void)
{

 X1 = "459";
 X2 = "-459";
 Y1 = "12368";
 Y2 = "-12368";

 Tz( 21, "+ ", CBignum(X1) +  CBignum(X1), "918"                    );
 Tz( 22, "+ ", CBignum(X2) +  CBignum(X2), "-918"                   );
 Tz( 23, "+ ", CBignum(X1) +  CBignum(Y1), "12827"                  );
 Tz( 24, "+ ", CBignum(X1) +  CBignum(Y2), "-11909"                 );
 Tz( 25, "+ ", CBignum(X2) +  CBignum(Y1), "11909"                  );
 Tz( 26, "+ ", CBignum(X2) +  CBignum(Y2), "-12827"                 );
 Tz( 27, "+ ", CBignum(Y1) +  CBignum(X1), "12827"                  );
 Tz( 28, "+ ", CBignum(Y1) +  CBignum(X2), "11909"                  );
 Tz( 29, "+ ", CBignum(Y2) +  CBignum(X1), "-11909"                 );
 Tz( 30, "+ ", CBignum(Y2) +  CBignum(X2), "-12827"                 );
 Tz( 31, "- ", CBignum(X1) -  CBignum(X1), "0"                      );
 Tz( 32, "- ", CBignum(X2) -  CBignum(X2), "0"                      );
 Tz( 33, "- ", CBignum(X1) -  CBignum(Y1), "-11909"                 );
 Tz( 34, "- ", CBignum(X1) -  CBignum(Y2), "12827"                  );
 Tz( 35, "- ", CBignum(X2) -  CBignum(Y1), "-12827"                 );
 Tz( 36, "- ", CBignum(X2) -  CBignum(Y2), "11909"                  );
 Tz( 37, "- ", CBignum(Y1) -  CBignum(X1), "11909"                  );
 Tz( 38, "- ", CBignum(Y1) -  CBignum(X2), "12827"                  );
 Tz( 39, "- ", CBignum(Y2) -  CBignum(X1), "-12827"                 );
 Tz( 40, "- ", CBignum(Y2) -  CBignum(X2), "-11909"                 );
 Tz( 41, "/ ", CBignum(X1) /  CBignum(X1), "1"                      );
 Tz( 42, "/ ", CBignum(X2) /  CBignum(X2), "1"                      );
 Tz( 43, "/ ", CBignum(X1) /  CBignum(Y1), "0"                      );
 Tz( 44, "/ ", CBignum(X1) /  CBignum(Y2), "-1"                     );
 Tz( 45, "/ ", CBignum(X2) /  CBignum(Y1), "-1"                     );
 Tz( 46, "/ ", CBignum(X2) /  CBignum(Y2), "0"                      );
 Tz( 47, "/ ", CBignum(Y1) /  CBignum(X1), "26"                     );
 Tz( 48, "/ ", CBignum(Y1) /  CBignum(X2), "-27"                    );
 Tz( 49, "/ ", CBignum(Y2) /  CBignum(X1), "-27"                    );
